name,contract_address
CryptoPunks,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB
Bored Ape Yacht Club,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D
Mutant Ape Yacht Club,0x60E4d786628Fea6478F785A6d7e704777c86a7c6
Azuki,0xED5AF388653567Af2F388E6224dC7C4b3241C544
Clone X,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B
Moonbirds,0x23581767a106ae21c074b2276D25e5C3e136a68b
Doodles ,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e
Meebits,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7
Cool Cats,0x1A92f7381B9F03921564a437210bB9396471050C
Pudgy Penguins,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8
