,owner_of,number of tokens
1,0x0000000000000000000000000000000000000001,11273
2,0x000000000000000000000000000000000000dead,12640
4,0x00000000000cd56832ce5dfbcbff02e7ec639bc9,319
7,0x000000000c18fb66fe655aff89e3fd4516c355f0,11
11,0x000001f568875f378bf6d170b790967fe429c81a,238
27,0x000b75fcdc15d41277deb033c72d2c8d774ccced,439
47,0x002781a27becd321d831d815e3fa386944b329c8,48
58,0x003f6b20bfa4b5cab701960ecf73859cb3c095fc,156
121,0x008c84421da5527f462886cec43d2717b686a7e4,479
127,0x0094378b691db9b4d6074870460ca466270b3cbe,41
139,0x00a839de7922491683f547a67795204763ff8237,727
148,0x00b6f8f1ee0241075799aa7474c70304d8fa0814,746
235,0x0120b4134354d7e885685a23e7606ccaf7d0b2b4,80
266,0x0154d25120ed20a516fe43991702e7463c5a6f6e,935
289,0x0174998c7e8fa81d45de706a1c911497921a8122,81
315,0x019ed608dd806b80193942f2a960e7ac8abb2ee3,504
350,0x01c65d2eed99ca3031fac95eea4edda3af74e55c,36
397,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,4324
412,0x021d5abea6efbcd5dba2c8ae9237471448ea0856,329
417,0x0223b033fe732601907a9ba50406082c39266221,183
424,0x0228176388579efbe0bc049ab1dc73a9e069f683,66
438,0x0239769a1adf4def9f07da824b80b9c4fcb59593,309
524,0x02a522d98ec2d2c3bbe91acc29ee7fd32ab880ab,267
546,0x02c1ca960532947a45d40a752944cd9648ccf900,8
548,0x02c465d39fa7e876d1cd74be886323c2a66ef9e6,145
565,0x02da608fbff7e0abcf4ad34a6b1fbe4f3effa544,59
566,0x02dcce9e0aa57881dd15d09ad904c6ff93f0c059,513
613,0x0333f6c7b94c154f8c3d8f89cc34523103aab704,62
638,0x0359c0b2b30ff5e52893156c1baba2b55a468700,145
684,0x038fdde651bc9b6fe002057d64adc67ed69fc16d,20
687,0x0392c0d81934b52f64aa50c2cfbbcf28cd6141b2,299
699,0x03a129281f2f767c0a9c95d9ba982fe4b457c6da,108
749,0x03ea64a5ced21e2cccfaea0aec283d0a0afe9424,222
777,0x04148d6ce66cbb2f5c198c272b8117a5e7a6102e,47
819,0x044c7923c74e10448e8401f6d2f78297fd5a5054,44
1117,0x05ce5d83371872ca8d6c4319170b452898fda3f4,109
1134,0x05e2461c8c10138aee241268f28de6003d3dbadb,827
1158,0x0606702fb2ca6d8707c8a449d63a1bd9dffe14c4,76
1179,0x061600d3515b387d562504eed5a1a485f9ae0ee4,535
1214,0x0645e5e8e9dcd91f507cba441bf5136eaf8a3c84,23
1215,0x064635e9ad8c770df4430180f0983ac0c59fc3fc,360
1330,0x06eaf2aa96ca72e5bc4f94d9a86e1024c4c97e6c,129
1402,0x0751633a5f55cbb26cc6abb6b39648b12ebe70c6,83
1413,0x07614f65d7375e0f186fca98cbcbb7b1ad4c168b,54
1418,0x07670dd0d0d00ed6ec47cd4073c7ad5ddda32405,266
1441,0x078ad2aa3b4527e4996d087906b2a3da51bba122,7141
1466,0x07b24ba3e50be7b4411138823176f4382163d59a,265
1487,0x07cbd4e4473140b6078aa987907aaff5e500b9f1,197
1517,0x07f540903f9ec92ae3bc85a91742fa272da32618,233
1563,0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,298
1593,0x08562ecd51da642f526f11273bb8350004ccc319,36
1595,0x085843dbde124ab8babd558fea60534962628338,369
1687,0x08d816526bdc9d077dd685bd9fa49f58a5ab8e48,533
1693,0x08e242bb06d85073e69222af8273af419d19e4f6,73
1732,0x091bdd0d200617ec53b95f5b60e4f537e151ad13,36
1816,0x09a26345a7ed7350133934f9b2dfe93a75e01173,660
1836,0x09be9ab0eb61327d26904bae69efdc6633d5eec8,1132
1853,0x09d8270a1de38b53df1f47dec27f377ce145115c,52
1880,0x09fabf8c79e141fea3b87629a19c1defef0b9291,546
1903,0x0a16006013a26cb8ffbdd3b31d19cbf723f024f2,33
1968,0x0a690b298f84d12414f5c8db7de1ece5a4605877,4174
2003,0x0aa568cfc61041aa215cce4a39b883004276a0be,67
2012,0x0ab3cd94e756b856366194e440f60ea97eca2c32,26
2014,0x0ab4b2f1a5cf3d72206cc1415b8e88ef9c698423,135
2039,0x0ade490244a34c69c1e31e7c2c95e20b42daf988,11
2050,0x0aed1878803e2f86b6ddb83f5523f0a793e973fc,128
2120,0x0b5dd26f44d36141d97a3bf6841e7ba63c092af9,426
2146,0x0b81747f504dfc906a215e301d8b8ad82e44cbd2,101
2185,0x0bc2dab96f47dac7c58db9469402cf3c7775a537,113
2194,0x0bc95f14395270a3c236ca1e15d77fb77b66c0a1,406
2296,0x0c54a765c77a88d9cda0bd7ad9b10422848d92ef,2414
2329,0x0c7c0edcb0dddd4b162e6b51eb7c70a9003a89ee,138
2354,0x0ca151881cf1ac5b16c73350df380ade8789a0a9,72
2471,0x0d25164b0a4e1cdb86bfe9800b0690db62d54c2f,44
2484,0x0d323d390c75e717e5807fc8b97ecf9c26741ab9,96
2494,0x0d43e9d9812c0d7c63c7cbe873526030307d921f,791
2514,0x0d5b12b86e85358fdacf216598c75863f954c66d,132
2541,0x0d77946d201ee95d272c21b3b3588e419df95586,56
2542,0x0d779d67a428457cabec145a0f94703d14cd496b,544
2550,0x0d81e1dd9d6d6761ab299f008a52834bb50a8986,187
2560,0x0d91e3ecdb153d5c375eb7bc529823684a3310d3,141
2594,0x0dbccb2f2b16926dd60770ff72c6bf6e5cab3cbe,4
2627,0x0de036ec7022330073861f5125b00b64e7a5b49c,75
2714,0x0e50da617197baad40804c95c25a8b0172d25d5f,95
2850,0x0f0924a3a5111e7987a23a49af826d2ba431342e,256
2853,0x0f0cb548a8332dbbbcda615a4c0e9a12310fe42b,189
2896,0x0f48669b1681d41357eac232f516b77d0c10f0f1,543
2905,0x0f581f00f6a318873e77715ef8953df226427ae7,32
2953,0x0f9a22d05a1f5395505fb6df2b51ebe300b281e0,133
2992,0x0fd87cfabbe4baeb639d7851583d8043ac06a662,195
3012,0x0ff4bcaf4d736edb8eba11dd66a4921e9f8b8b50,296
3030,0x101215fb12fa6eb7f8f4b781c6ef12834bd7e9ee,318
3103,0x109135c783ed5eaa97d5e9a837fd1a40ed21716a,93
3115,0x10a2dfb788a57587e6dead219fb2829b8ead9d7b,1054
3144,0x10ccd4136471c7c266a9fc4569622989fb4cab99,217
