,token_address,name,frequency
0,0x22c1f6050e56d2876009903609a2cc3fef83b415,POAP,1229
1,0x495f947276749ce646f68ac8c248420045cb7b5e,OpenSea Shared Storefront,1069
2,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,Ethereum Name Service,980
3,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,Otherdeed,542
4,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,Art Blocks,540
5,0xd07dc4262bcdbf85190c01c996b4c06a461d2430,Rarible,486
6,0xe786b5596a792d7beafcf08eaf9de711c7b7b14b,Gutter Punks - Otherside,447
7,0x28472a58a490c5e09a238847f66a68a47cc76f0f,adidas Originals: Into the Metaverse,347
8,0x60e4d786628fea6478f785a6d7e704777c86a7c6,MutantApeYachtClub,344
9,0x0540cd12951c6dc3b06bae466914b46dcaa28cf8,Gutter Punks Flyer - Meebits,294
10,0xba0980abbe2bdd2fd8ed956718e619271ad26da4,pLobstar,291
11,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,Meebits,289
12,0xa342f5d851e866e18ff98f351f2c6637f4478db5,Sandbox's ASSETs,281
13,0xc36442b4a4522e871399cd717abdd847ab11fe88,Uniswap V3 Positions NFT-V1,256
14,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,CloneX,255
15,0xa2689f62d0e362607d5fad4e1798e0c2bcaef07c,Gutter Punks Flyer - Cool Cats,255
16,0xb1540922be7c7ed011cb41cc0cc4addf089b3aaf,Gutter Punks - CloneX,253
17,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,FND NFT,249
18,0x1a92f7381b9f03921564a437210bb9396471050c,Cool Cats,247
19,0xd0b53410454370a482979c0adaf3667c6308a801,Elite Ape Entry Coins,245
20,0x86c10d10eca1fca9daf87a279abccabe0063f247,Cool Pets,243
21,0x226bf5293692610692e2c996c9875c914d2a7f73,oncyber,242
22,0xc4c377565a4b9eb6e657c2422bd33b6e4859b041,None,233
23,0x7deb7bce4d360ebe68278dee6054b882aa62d19c,Planets,226
24,0x06012c8cf97bead5deae237070f9587f8e7a266d,CryptoKitties,222
25,0xb7be4001bff2c5f4a61dd2435e4c9a19d8d12343,None,222
26,0x76be3b62873462d2142405439777e971754e8e77,parallel,221
27,0x8eaaabe11896bd09fb852d3a5248004ec44bc793,Refractions,215
28,0xde60a7a9493c67cbbe9d4f85259d9d4b14f09dc0,hic Lobstar,209
29,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,206
30,0x1e0e008eec6d04c52a3945d3df33d04e06a9c46f,Gutter Punks Flyer,205
31,0x69fcfeeb1f49621c53e6e959b0f7edccf278acfb,Project Highrise,197
32,0x23581767a106ae21c074b2276d25e5c3e136a68b,Moonbirds,195
33,0x60f80121c31a0d46b5279700f9df786054aa5ee5,Rarible,194
34,0x33cfae13a9486c29cd3b11391cc7eca53822e8c7,MintPass 2,194
35,0x7581f8e289f00591818f6c467939da7f9ab5a777,TimeCatsLoveEmHateEm,193
36,0xfbeef911dc5821886e1dda71586d90ed28174b7d,KnownOriginDigitalAsset,192
37,0x375ea781c49eafedde07afe6196f885761f166ae,CryptoTrunks,185
38,0x473fbdf1a797589df54751816623eb037c71ce27,Gutter Punks Comic - Flyer,185
39,0x634f57060e6b53cd224c314ef4f732e3dcb9de42,mutant Bored Snake Club,185
40,0xda22422592ee3623c8d3c40fe0059cdecf30ca79,Censored,185
41,0xc53dc593b69c67a209cf70d4172078c9125449bb,Nametag,183
42,0x88beb297de26d7d4553a972d2cabb7781173f208,Gutter Punks Comic - Flyer,180
43,0x0cfb5d82be2b949e8fa73a656df91821e2ad99fd,10KTF,179
44,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,BoredApeKennelClub,179
45,0x1792a96e5668ad7c167ab804a100ce42395ce54d,Moonbirds Oddities,175
46,0x128675d4fddbc4a0d3f8aa777d8ee0fb8b427c2f,PUNKS Comic 2,174
47,0x6797257690f5a0c7bed43b3a220c415252ecc93e,tiny PolarBear,173
48,0xa3b758eec7875947b74db6ad27e9c874377451f5,the Bored Snake Club,171
49,0xaf90d15098275db315979b00f8a308c8c0bb980f,Gutter Punks Flyer - CryptoPunks,171
50,0x0e1f990d264a9818460dde1b81c0b04d8a88e751,TIMEPieces x Robotos,170
51,0xf3e778f839934fc819cfa1040aabacecba01e049,Avastar,164
52,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,PudgyPenguins,164
53,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare,164
54,0xf661d58cfe893993b11d53d11148c4650590c692,MNLTHRVLD,162
55,0xe0176ba60efddb29cac5b15338c9962daee9de0c,PREMINT Collector,161
56,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,CRYPTOPUNKS,158
57,0x6d4bbc0387dd4759eee30f6a482ac6dc2df3facf,RTFKT X NIKE MONOLITH,154
58,0xc9a1a17d5f6ad4f7dd57fc7e8f009cda8a877344,Gutter Punks - tubby cats,154
59,0x7daec605e9e2a1717326eedfd660601e2753a057,None,152
60,0x4df4ba88c2975b3a65667b0bacb1b78e6e8ce164,National Beer Day 2022,152
61,0xca7ca7bcc765f77339be2d648ba53ce9c8a262bd,Tubby Cats,149
62,0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38,Sandbox's LANDs,149
63,0xc3f733ca98e0dad0386979eb96fb1722a1a05e69,Acclimated​MoonCats,149
64,0x74ee68a33f6c9f113e22b3b77418b75f85d07d22,Zerion Genesis Collection,149
65,0x4008ceb985456a8571c0e7a281c3536a548fee85,WGMI Premium Membership,145
66,0x9d90308d16b94c38048c782bdd8104a964758a23,fees.wtf NFT,145
67,0x10daa9f4c0f985430fde4959adb2c791ef2ccf83,The Meta Key,142
68,0xabb3738f04dc2ec20f4ae4462c3d069d02ae045b,KnownOriginDigitalAsset,142
69,0x5c1469ab0e3b4f96d7f25e23d80c540259f2ad5b,None,141
70,0x6d4530149e5b4483d2f7e60449c02570531a0751,NFTBoxes,140
71,0x466cfcd0525189b573e794f554b8a751279213ac,Dooplicator,139
72,0x9a06ef3a841316a9e2c1c93b9c21a7342abe484f,RTFKT SKIN VIAL: EVO X,137
73,0xd1169e5349d1cb9941f3dcba135c8a4b9eacfdde,MAX PAIN AND FRENS OPEN EDITION BY XCOPY,136
74,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,Doodles,135
75,0xc2c747e0f7004f9e8817db2ca4997657a7746928,Hashmasks,135
76,0xfaff15c6cdaca61a4f87d329689293e07c98f578,Zapper NFT,135
77,0xd1d411d2da363144248b98adab453aa3b19ccf04,Rug Radio Membership Pass,134
78,0x8b22ad9bcaefddd7f74fb069d38518c672fa4544,Misfits Ape Society D,134
79,0xc2fc3471bed3dc8cae80eccccfb5d59df0a7fb2e,BadKids,133
80,0x569d8ce79568f5d35cec67228cc1ec04aff026e2,CPBC Col,133
81,0x728f308e300a6562f1763ffb1ce4b3de1007ed24,Gutter Punks Flyer - Doodles,133
82,0xf61f24c2d93bf2de187546b14425bf631f28d6dc,World Of Women Galaxy,131
83,0xed5af388653567af2f388e6224dc7c4b3241c544,Azuki,131
84,0x1dfe7ca09e99d10835bf73044a23b73fc20623df,More Loot,131
85,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,Cryptoadz,130
86,0xd0a07a76746707f6d6d36d9d5897b14a8e9ed493,Pixel Vault Founder's DAO,130
87,0x1e52f7a450b08b1b249a4f4f54518fc5278c2285,Twin Tigers,129
88,0x9378368ba6b85c1fba5b131b530f5f5bedf21a18,VeeFriends Series 2,129
89,0xd4f3a00b470c9ed76510cc92fd07e59e0a5c34d1,Gutter Punks,128
90,0x54439d4908a3e19356f876aa6022d67d0b3b12d6,Origin Stories 1,128
91,0x4b3406a41399c7fd2ba65cbc93697ad9e7ea61e5,Lost Poets,127
92,0xc143bbfcdbdbed6d454803804752a064a622c1f3,Async Blueprints,127
93,0x7ab2352b1d2e185560494d5e577f9d3c238b78c5,Adam Bomb Squad,127
94,0x65498bf901a0c47ba9507c8a778d2bdee4db12b4,Gutter Punks - WoWG,125
95,0x0ded8542fc8b2b4e781b96e99fee6406550c9b7c,Gutter Punks - BEANZ,124
96,0xb66a603f4cfe17e3d27b87a8bfcad319856518b8,Rarible,124
97,0x2a187453064356c898cae034eaed119e1663acb8,DCL Registrar,124
98,0x32a36ed7904a19808aab85887171a190a0014b6a,Gutter Punks - Chromie Squiggles,124
99,0xaefe84eec5fc9aba7cb1f55fc0ebe4844270695b,pl Misfits Ape Society,123
100,0xfb7d186e24e128be1f1339fb9c2ba6fdbd87c6f9,GRILLZ GANG TICKET,121
101,0xf4bacb2375654ef2459f427c8c6cf34573f75154,TPL Mecha Part,120
102,0xa7206d878c5c3871826dfdb42191c49b1d11f466,LOSTPOETS,120
103,0xe96888e4ecbc20924bc41d6ec8f5d2097e22180d,Gutter Punks - ENS,120
104,0x6913233ada65330adf01f24f715dffcc60497cc8,First Day Out,120
105,0xaad35c2dadbe77f97301617d82e661776c891fa9,Akutars,119
106,0xecbf716c557e5b217df39b9994a3851ef9ef018f,Crypto Bull,118
107,0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,Art Blocks,118
108,0xc2b5ebcc823ff38d4decd8aadbd2017900aedc55,The Misfits Ape Society,117
109,0x8ff1523091c9517bc328223d50b52ef450200339,RugGenesis NFT,117
110,0x7c5700018e7983d115ca039a3afa3cf4d1a8d5b9,Gutter Punks - Treeverse Plots,116
111,0x5355d427c724ab1b11c71bc3ff826586cc3a4a13,CryptoUnicorn,115
112,0xb3592aea045c7509c5d84e57f0b04baa13618bc6,Gutter Punks - Akutars,114
113,0x6802a8d3eaff40e05d126f798d6caca95884212c,FlyFrogs,113
114,0x524cab2ec69124574082676e6f654a18df49a048,LilPudgys,113
115,0xe4605d46fd0b3f8329d936a8b258d69276cba264,Meme Ltd.,112
116,0x931812a8fcf1ab654eeb6d9bd929f7df183be778,CryptoUnicorn,111
117,0x9dfbb95cd2431a1b04cfc8be4edcf8dc5b4feb3d,BadKids,110
118,0xd4d871419714b778ebec2e22c7c53572b573706e,Stoner Cats,110
119,0x099689220846644f87d1137665cded7bf3422747,Robotos,110
