,poap_name,frequency
0,Bankless Member - 2021,1213
1,Virtual Blockchain Week 2020 - General,1192
2,Virtual Blockchain Week 2020 / Cointelegraph Official NFT,1183
3,Dappcon 2019,1007
4,Bankless Member - 2020,657
5,ETHBerlinZwei,616
6,Devcon5,590
7,The Mutant Ape’s Demise,590
8,Beanie x Farokh Ceasefire,532
9,adidas Originals: our future started here,511
10,YAM Heros,486
11,Guild of Guardians Founder Badge,454
12,TIMEPieces REKT,451
13,Genesis CoinGecko Candy Collector v2,437
14,Fractional Early Adopter,382
15,The Graph - Subgraph developer,340
16,Rug Radio x Keith Grossman (President of TIME),313
17,ETHNewYork,312
18,ETHBOSTON 2019,273
19,ETHWaterloo 2019,253
20,XCOPY GALLERY - LAUNCH PARTY,236
21,Devcon2 by Piper Merriam,228
22,Rug Radio (rug.fm) Creation,226
23,Zenft Garden Society: Genesis,207
24,Non-Fungible Fungi,200
25,EthCC 3,196
26,CoinGecko Bitcoin Pizza Day 2021,191
27,The Graph - Original Grapher ,188
28,MKR Backstop Syndicate,184
29,ETHLondon - 2020,182
30,Decentraland - Mintbase Launch Party,179
31,Decentraland - KnownOrigin Launch Party,174
32,JRNY CLUB - Ahead of the Herd,173
33,EthIndia2,173
34,Ethereum 2.0 Serenity Launch,169
35,CoinGecko Premium+ Genesis Badge - Gold,167
36,Decentraland - Async Art After Party,166
37,CoinGecko 7th Anniversary Celebration,166
38,ON1 FORCE CELEBRATION SELL OUT!,162
39,Decentraland Moonshot World Cup - Final,162
40,CoinGecko NFT Spotlight #2 -he KeepeCommon Artwork,161
41,Decentraland - Art Week Launch Party,161
42,Aave x Coingecko V2 Release Swag Event,158
43,CoinGecko Halloween 2020 - Joker Gecko,157
44,Decentraland - Chain Guardians Present the Art of NOI,156
45,Decentraland - SuperRare Museum Opening,155
46,Decentraland - MakersPlace Gallery Opening,152
47,Decentraland - Soho Plaza Launch Party,151
48,Decentraland - OpenSea Art Mall Launch,151
49,Ethereal Summit,149
50,Decentraland - PixelChain Party,149
51,Medalla Testnet Resuscitator ,149
52,Bad Crypto Podcast Episode #379 with Vitalik Buterin ,148
53,CowSwap Ethereum Stable Version Launch POAP,146
54,SuperRare 2021 Collector Badge,146
55,Decentraland - Abner Harris Art Exhibition,143
56,Genesis CoinGecko Candy Collector,141
57,I Played 4 YFI,137
58,The Graph - Delegator,137
